Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI
Symptoms of Depressive Disorder,By Sex,United States,Male,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.5,22.5,24.4
Symptoms of Depressive Disorder,By Sex,United States,Female,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.2,26.5,28.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,31.5,28.9,34.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.3,22.7,23.9
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.2,27.1,31.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.0,17.1,21.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.6,30.4,37.0
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.0,27.9,36.3
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,26.9,25.5,28.4
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.0,28.1,30.0
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.1,18.6,19.6
Symptoms of Depressive Disorder,By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.0,20.9,29.4
Symptoms of Depressive Disorder,By State,Alaska,Alaska,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.1,24.0,30.4
Symptoms of Depressive Disorder,By State,Arizona,Arizona,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.0,22.1,28.0
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.2,25.6,35.1
Symptoms of Depressive Disorder,By State,California,California,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.4,27.1,31.8
Symptoms of Depressive Disorder,By State,Colorado,Colorado,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.8,21.3,26.4
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.9,19.9,26.0
Symptoms of Depressive Disorder,By State,Delaware,Delaware,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.6,19.6,30.1
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.9,15.1,25.4
Symptoms of Depressive Disorder,By State,Florida,Florida,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,26.0,23.6,28.5
Symptoms of Depressive Disorder,By State,Georgia,Georgia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.9,20.2,27.8
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.1,24.9,35.7
Symptoms of Depressive Disorder,By State,Idaho,Idaho,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.0,18.3,24.0
Symptoms of Depressive Disorder,By State,Illinois,Illinois,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.1,21.1,27.4
Symptoms of Depressive Disorder,By State,Indiana,Indiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.1,20.2,26.2
Symptoms of Depressive Disorder,By State,Iowa,Iowa,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.6,15.5,24.2
Symptoms of Depressive Disorder,By State,Kansas,Kansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.7,18.9,26.7
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,31.5,27.0,36.4
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,28.4,25.0,32.0
Symptoms of Depressive Disorder,By State,Maine,Maine,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.4,19.6,29.6
Symptoms of Depressive Disorder,By State,Maryland,Maryland,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.4,21.8,27.2
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.5,19.4,25.8
Symptoms of Depressive Disorder,By State,Michigan,Michigan,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.6,22.1,29.4
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.9,16.9,23.2
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.1,21.4,29.1
Symptoms of Depressive Disorder,By State,Missouri,Missouri,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.5,22.2,29.0
Symptoms of Depressive Disorder,By State,Montana,Montana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.9,16.5,23.6
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.9,18.0,24.0
Symptoms of Depressive Disorder,By State,Nevada,Nevada,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.2,25.1,33.6
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.8,15.5,24.7
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.5,19.6,25.8
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,26.1,22.4,30.0
Symptoms of Depressive Disorder,By State,New York,New York,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.3,19.8,27.1
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.7,21.3,30.5
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,16.6,13.1,20.7
Symptoms of Depressive Disorder,By State,Ohio,Ohio,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.5,22.4,28.8
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.2,24.0,30.7
Symptoms of Depressive Disorder,By State,Oregon,Oregon,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.9,22.6,27.3
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.1,21.9,28.6
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.4,18.5,26.8
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,20.3,16.8,24.3
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,19.0,16.1,22.3
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.5,20.9,28.3
Symptoms of Depressive Disorder,By State,Texas,Texas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.0,25.5,32.8
Symptoms of Depressive Disorder,By State,Utah,Utah,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.5,21.5,25.7
Symptoms of Depressive Disorder,By State,Vermont,Vermont,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.1,24.9,35.6
Symptoms of Depressive Disorder,By State,Virginia,Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,23.1,20.1,26.3
Symptoms of Depressive Disorder,By State,Washington,Washington,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,25.2,22.7,27.7
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.5,21.7,33.9
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,21.6,19.0,24.4
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.2,16.8,28.4
Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.4,31.7,33.1
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,44.7,42.3,47.0
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,38.1,36.7,39.6
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,35.3,33.9,36.7
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,31.1,29.8,32.4
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.8,23.5,26.1
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,18.0,16.5,19.7
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,15.0,12.2,18.2
Symptoms of Anxiety Disorder,By Sex,United States,Male,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,28.1,27.0,29.2
Symptoms of Anxiety Disorder,By Sex,United States,Female,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,36.4,35.6,37.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,36.4,33.7,39.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,31.6,30.9,32.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.2,30.2,34.1
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.8,22.2,27.5
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,39.7,35.6,43.8
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.8,33.6,42.2
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.8,29.1,32.6
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,35.2,34.1,36.4
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.9,29.1,30.6
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.4,25.7,33.3
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.6,28.6,36.8
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,31.7,28.5,35.2
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,35.4,31.3,39.6
Symptoms of Anxiety Disorder,By State,California,California,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,36.2,33.6,38.9
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.8,29.6,36.1
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,28.4,25.4,31.4
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.8,28.7,37.1
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,34.8,28.8,41.1
Symptoms of Anxiety Disorder,By State,Florida,Florida,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,31.7,28.4,35.2
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.0,25.0,33.3
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.6,25.7,35.9
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.4,26.0,32.9
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.2,29.2,35.4
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.1,27.0,33.3
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,26.8,22.6,31.3
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.3,28.2,36.5
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.8,33.1,42.7
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,36.9,32.6,41.4
Symptoms of Anxiety Disorder,By State,Maine,Maine,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.2,27.3,39.6
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.6,28.3,33.1
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,34.2,31.0,37.6
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.9,29.3,36.7
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,26.2,23.4,29.1
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.6,27.0,34.5
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.7,27.4,34.1
Symptoms of Anxiety Disorder,By State,Montana,Montana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.8,23.6,32.4
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,28.7,24.9,32.7
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,39.3,34.8,43.9
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.3,22.5,32.4
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,34.7,31.8,37.8
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.9,29.2,38.7
Symptoms of Anxiety Disorder,By State,New York,New York,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.7,27.3,34.2
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.7,25.4,34.3
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,24.7,20.5,29.3
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.6,29.3,38.1
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.9,30.3,37.5
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,35.1,32.7,37.6
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,32.6,29.2,36.1
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.5,25.7,33.6
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,28.3,24.0,33.0
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,26.9,22.5,31.6
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.7,27.3,34.4
Symptoms of Anxiety Disorder,By State,Texas,Texas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.2,29.5,37.2
Symptoms of Anxiety Disorder,By State,Utah,Utah,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,31.1,28.1,34.1
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,36.9,30.8,43.2
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,28.7,25.9,31.6
Symptoms of Anxiety Disorder,By State,Washington,Washington,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,34.5,31.4,37.7
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.1,30.9,43.6
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,30.7,26.8,34.8
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,27.0,22.5,31.9
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.5,36.8,38.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,52.8,50.5,55.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,43.2,41.7,44.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,39.9,38.4,41.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,34.8,33.5,36.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.5,28.2,30.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,22.8,21.1,24.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,17.9,15.0,21.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.1,32.1,34.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,41.6,40.8,42.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,43.5,40.9,46.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,35.9,35.1,36.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,39.7,37.6,41.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.2,26.4,32.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,45.7,41.9,49.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,43.2,39.0,47.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.1,35.5,38.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,40.9,39.8,42.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.3,32.5,34.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.6,29.6,37.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.4,33.5,41.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.8,33.9,41.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,42.3,37.5,47.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,42.4,40.0,44.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.5,34.0,41.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,34.6,31.0,38.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,39.0,34.1,44.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.1,31.3,43.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,37.8,34.5,41.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,34.7,30.3,39.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,40.2,34.6,46.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,33.3,29.9,36.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,36.6,33.4,40.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,34.3,31.2,37.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,29.6,25.0,34.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,36.2,31.9,40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,42.8,38.1,47.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,41.5,37.3,45.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,2,16,"Sep 30 - Oct 12, 2020",09/30/2020,10/12/2020,36.3,30.8,42.1
