Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Year
Needed Counseling or Therapy But Did Not Get It,By Education,United States,High school diploma or GED,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,9.7,8.7,10.8,2020
Needed Counseling or Therapy But Did Not Get It,By Education,United States,Some college/Associate's degree,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,15.0,14.1,15.9,2020
Needed Counseling or Therapy But Did Not Get It,By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.2,10.6,11.7,2020
Needed Counseling or Therapy But Did Not Get It,By State,Alabama,Alabama,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,10.3,7.6,13.6,2020
Needed Counseling or Therapy But Did Not Get It,By State,Alaska,Alaska,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.5,9.1,14.3,2020
Needed Counseling or Therapy But Did Not Get It,By State,Arizona,Arizona,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.6,9.5,14.0,2020
Needed Counseling or Therapy But Did Not Get It,By State,Arkansas,Arkansas,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.8,9.2,14.9,2020
Needed Counseling or Therapy But Did Not Get It,By State,California,California,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,14.3,12.1,16.7,2020
Needed Counseling or Therapy But Did Not Get It,By State,Colorado,Colorado,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.5,10.2,15.1,2020
Needed Counseling or Therapy But Did Not Get It,By State,Connecticut,Connecticut,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.2,8.8,14.1,2020
Needed Counseling or Therapy But Did Not Get It,By State,Delaware,Delaware,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,15.3,11.0,20.4,2020
Needed Counseling or Therapy But Did Not Get It,By State,District of Columbia,District of Columbia,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,18.5,13.0,25.0,2020
Needed Counseling or Therapy But Did Not Get It,By State,Florida,Florida,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,10.9,8.7,13.5,2020
Needed Counseling or Therapy But Did Not Get It,By State,Georgia,Georgia,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,16.1,12.1,20.9,2020
Needed Counseling or Therapy But Did Not Get It,By State,Hawaii,Hawaii,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,7.0,4.8,9.7,2020
Needed Counseling or Therapy But Did Not Get It,By State,Idaho,Idaho,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.5,9.4,16.2,2020
Needed Counseling or Therapy But Did Not Get It,By State,Illinois,Illinois,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,10.7,8.8,12.9,2020
Needed Counseling or Therapy But Did Not Get It,By State,Indiana,Indiana,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.5,10.4,14.8,2020
Needed Counseling or Therapy But Did Not Get It,By State,Iowa,Iowa,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,8.5,6.7,10.7,2020
Needed Counseling or Therapy But Did Not Get It,By State,Kansas,Kansas,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.4,9.1,14.0,2020
Needed Counseling or Therapy But Did Not Get It,By State,Kentucky,Kentucky,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.6,9.0,17.0,2020
Needed Counseling or Therapy But Did Not Get It,By State,Louisiana,Louisiana,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.4,9.3,16.0,2020
Needed Counseling or Therapy But Did Not Get It,By State,Maine,Maine,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.6,7.8,16.4,2020
Needed Counseling or Therapy But Did Not Get It,By State,Maryland,Maryland,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.2,8.7,14.0,2020
Needed Counseling or Therapy But Did Not Get It,By State,Massachusetts,Massachusetts,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.5,8.8,14.7,2020
Needed Counseling or Therapy But Did Not Get It,By State,Michigan,Michigan,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,9.8,7.9,12.1,2020
Needed Counseling or Therapy But Did Not Get It,By State,Minnesota,Minnesota,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,10.4,8.1,13.1,2020
Needed Counseling or Therapy But Did Not Get It,By State,Mississippi,Mississippi,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,13.5,9.5,18.5,2020
Needed Counseling or Therapy But Did Not Get It,By State,Missouri,Missouri,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.6,9.6,16.1,2020
Needed Counseling or Therapy But Did Not Get It,By State,Montana,Montana,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.7,8.7,15.2,2020
Needed Counseling or Therapy But Did Not Get It,By State,Nebraska,Nebraska,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,8.3,6.4,10.6,2020
Needed Counseling or Therapy But Did Not Get It,By State,Nevada,Nevada,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.3,9.8,15.2,2020
Needed Counseling or Therapy But Did Not Get It,By State,New Hampshire,New Hampshire,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,8.9,6.3,12.1,2020
Needed Counseling or Therapy But Did Not Get It,By State,New Jersey,New Jersey,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,8.8,6.8,11.2,2020
Needed Counseling or Therapy But Did Not Get It,By State,New Mexico,New Mexico,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,10.0,7.6,12.9,2020
Needed Counseling or Therapy But Did Not Get It,By State,New York,New York,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,9.4,6.8,12.5,2020
Needed Counseling or Therapy But Did Not Get It,By State,North Carolina,North Carolina,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,15.0,11.0,19.9,2020
Needed Counseling or Therapy But Did Not Get It,By State,North Dakota,North Dakota,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,4.1,2.3,6.5,2020
Needed Counseling or Therapy But Did Not Get It,By State,Ohio,Ohio,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,15.2,11.5,19.6,2020
Needed Counseling or Therapy But Did Not Get It,By State,Oklahoma,Oklahoma,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,16.5,12.9,20.7,2020
Needed Counseling or Therapy But Did Not Get It,By State,Oregon,Oregon,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.9,11.0,15.0,2020
Needed Counseling or Therapy But Did Not Get It,By State,Pennsylvania,Pennsylvania,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,11.5,8.7,14.9,2020
Needed Counseling or Therapy But Did Not Get It,By State,Rhode Island,Rhode Island,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,9.0,5.5,13.5,2020
Needed Counseling or Therapy But Did Not Get It,By State,South Carolina,South Carolina,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,10.0,7.4,13.0,2020
Needed Counseling or Therapy But Did Not Get It,By State,South Dakota,South Dakota,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,7.5,5.2,10.3,2020
Needed Counseling or Therapy But Did Not Get It,By State,Tennessee,Tennessee,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,13.9,10.9,17.4,2020
Needed Counseling or Therapy But Did Not Get It,By State,Texas,Texas,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,10.7,9.0,12.7,2020
Needed Counseling or Therapy But Did Not Get It,By State,Utah,Utah,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,17.9,14.8,21.3,2020
Needed Counseling or Therapy But Did Not Get It,By State,Vermont,Vermont,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.8,8.4,18.4,2020
Needed Counseling or Therapy But Did Not Get It,By State,Virginia,Virginia,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,10.2,7.0,14.3,2020
Needed Counseling or Therapy But Did Not Get It,By State,Washington,Washington,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,13.4,11.2,15.8,2020
Needed Counseling or Therapy But Did Not Get It,By State,West Virginia,West Virginia,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.9,9.1,17.6,2020
Needed Counseling or Therapy But Did Not Get It,By State,Wisconsin,Wisconsin,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,8.8,6.6,11.4,2020
Needed Counseling or Therapy But Did Not Get It,By State,Wyoming,Wyoming,3 (Oct 28 – Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,12.4,8.3,17.6,2020
Took Prescription Medication for Mental Health,National Estimate,United States,United States,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.8,21.1,22.5,2020
Took Prescription Medication for Mental Health,By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.9,17.7,22.3,2020
Took Prescription Medication for Mental Health,By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.1,20.6,23.6,2020
Took Prescription Medication for Mental Health,By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.2,20.9,23.5,2020
Took Prescription Medication for Mental Health,By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,23.6,21.8,25.3,2020
Took Prescription Medication for Mental Health,By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.4,21.1,23.7,2020
Took Prescription Medication for Mental Health,By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.6,17.9,21.3,2020
Took Prescription Medication for Mental Health,By Age,United States,80 years and above,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.0,15.8,27.0,2020
Took Prescription Medication for Mental Health,By Sex,United States,Male,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,16.0,15.2,16.9,2020
Took Prescription Medication for Mental Health,By Sex,United States,Female,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.0,26.2,27.9,2020
Took Prescription Medication for Mental Health,By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.5,11.9,13.1,2020
Took Prescription Medication for Mental Health,By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,34.5,33.2,35.8,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,18.2,16.1,20.5,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.1,23.3,24.9,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,16.9,14.9,19.0,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.2,7.3,11.4,2020
Took Prescription Medication for Mental Health,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,26.6,23.0,30.6,2020
Took Prescription Medication for Mental Health,By Education,United States,Less than a high school diploma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.7,16.0,23.7,2020
Took Prescription Medication for Mental Health,By Education,United States,High school diploma or GED,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.2,19.8,22.7,2020
Took Prescription Medication for Mental Health,By Education,United States,Some college/Associate's degree,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.0,23.1,25.0,2020
Took Prescription Medication for Mental Health,By Education,United States,Bachelor's degree or higher,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,20.7,20.0,21.6,2020
Took Prescription Medication for Mental Health,By State,Alabama,Alabama,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.8,20.2,29.9,2020
Took Prescription Medication for Mental Health,By State,Alaska,Alaska,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,18.4,15.0,22.1,2020
Took Prescription Medication for Mental Health,By State,Arizona,Arizona,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,20.1,17.1,23.5,2020
Took Prescription Medication for Mental Health,By State,Arkansas,Arkansas,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,26.4,21.8,31.4,2020
Took Prescription Medication for Mental Health,By State,California,California,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,18.6,16.7,20.6,2020
Took Prescription Medication for Mental Health,By State,Colorado,Colorado,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,20.1,18.0,22.5,2020
Took Prescription Medication for Mental Health,By State,Connecticut,Connecticut,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.9,18.6,25.5,2020
Took Prescription Medication for Mental Health,By State,Delaware,Delaware,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.2,17.0,26.0,2020
Took Prescription Medication for Mental Health,By State,District of Columbia,District of Columbia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,20.3,16.0,25.2,2020
Took Prescription Medication for Mental Health,By State,Florida,Florida,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,20.8,17.9,24.0,2020
Took Prescription Medication for Mental Health,By State,Georgia,Georgia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,20.6,17.0,24.7,2020
Took Prescription Medication for Mental Health,By State,Hawaii,Hawaii,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.5,8.7,17.2,2020
Took Prescription Medication for Mental Health,By State,Idaho,Idaho,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.6,21.3,28.2,2020
Took Prescription Medication for Mental Health,By State,Illinois,Illinois,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.9,16.8,23.3,2020
Took Prescription Medication for Mental Health,By State,Indiana,Indiana,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,23.4,20.3,26.8,2020
Took Prescription Medication for Mental Health,By State,Iowa,Iowa,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.1,22.1,32.5,2020
Took Prescription Medication for Mental Health,By State,Kansas,Kansas,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.4,20.7,28.3,2020
Took Prescription Medication for Mental Health,By State,Kentucky,Kentucky,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,28.1,23.2,33.5,2020
Took Prescription Medication for Mental Health,By State,Louisiana,Louisiana,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,34.2,27.4,41.6,2020
Took Prescription Medication for Mental Health,By State,Maine,Maine,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.4,22.2,33.1,2020
Took Prescription Medication for Mental Health,By State,Maryland,Maryland,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.7,16.6,23.1,2020
Took Prescription Medication for Mental Health,By State,Massachusetts,Massachusetts,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.9,18.9,25.2,2020
Took Prescription Medication for Mental Health,By State,Michigan,Michigan,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,25.1,21.2,29.4,2020
Took Prescription Medication for Mental Health,By State,Minnesota,Minnesota,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.3,21.1,27.8,2020
Took Prescription Medication for Mental Health,By State,Mississippi,Mississippi,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,25.8,20.9,31.3,2020
Took Prescription Medication for Mental Health,By State,Missouri,Missouri,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,25.5,21.7,29.6,2020
Took Prescription Medication for Mental Health,By State,Montana,Montana,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,28.0,23.4,33.0,2020
Took Prescription Medication for Mental Health,By State,Nebraska,Nebraska,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.9,20.7,29.4,2020
Took Prescription Medication for Mental Health,By State,Nevada,Nevada,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,15.8,12.9,19.0,2020
Took Prescription Medication for Mental Health,By State,New Hampshire,New Hampshire,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,29.2,23.6,35.4,2020
Took Prescription Medication for Mental Health,By State,New Jersey,New Jersey,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,17.7,15.2,20.4,2020
Took Prescription Medication for Mental Health,By State,New Mexico,New Mexico,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,18.9,15.7,22.4,2020
Took Prescription Medication for Mental Health,By State,New York,New York,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,16.9,14.2,19.9,2020
Took Prescription Medication for Mental Health,By State,North Carolina,North Carolina,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.5,18.9,26.5,2020
Took Prescription Medication for Mental Health,By State,North Dakota,North Dakota,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.1,16.4,26.5,2020
Took Prescription Medication for Mental Health,By State,Ohio,Ohio,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.4,17.3,26.0,2020
Took Prescription Medication for Mental Health,By State,Oklahoma,Oklahoma,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,27.5,23.5,31.9,2020
Took Prescription Medication for Mental Health,By State,Oregon,Oregon,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.9,19.6,24.4,2020
Took Prescription Medication for Mental Health,By State,Pennsylvania,Pennsylvania,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,21.9,18.7,25.4,2020
Took Prescription Medication for Mental Health,By State,Rhode Island,Rhode Island,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,25.5,19.2,32.7,2020
Took Prescription Medication for Mental Health,By State,South Carolina,South Carolina,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,23.1,18.9,27.7,2020
Took Prescription Medication for Mental Health,By State,South Dakota,South Dakota,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,18.6,15.4,22.1,2020
Took Prescription Medication for Mental Health,By State,Tennessee,Tennessee,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,26.4,22.5,30.5,2020
Took Prescription Medication for Mental Health,By State,Texas,Texas,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,22.1,18.9,25.5,2020
Took Prescription Medication for Mental Health,By State,Utah,Utah,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.9,22.1,27.8,2020
Took Prescription Medication for Mental Health,By State,Vermont,Vermont,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.5,19.6,30.0,2020
Took Prescription Medication for Mental Health,By State,Virginia,Virginia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,19.9,17.2,22.9,2020
Took Prescription Medication for Mental Health,By State,Washington,Washington,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.0,21.2,27.0,2020
Took Prescription Medication for Mental Health,By State,West Virginia,West Virginia,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,29.5,23.9,35.5,2020
Took Prescription Medication for Mental Health,By State,Wisconsin,Wisconsin,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,24.9,21.8,28.2,2020
Took Prescription Medication for Mental Health,By State,Wyoming,Wyoming,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,23.1,17.6,29.3,2020
Received Counseling or Therapy,National Estimate,United States,United States,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,10.2,9.7,10.7,2020
Received Counseling or Therapy,By Age,United States,18 - 29 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.7,11.3,14.2,2020
Received Counseling or Therapy,By Age,United States,30 - 39 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,15.3,14.1,16.6,2020
Received Counseling or Therapy,By Age,United States,40 - 49 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,11.4,10.5,12.5,2020
Received Counseling or Therapy,By Age,United States,50 - 59 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.9,8.9,10.9,2020
Received Counseling or Therapy,By Age,United States,60 - 69 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,5.8,5.1,6.6,2020
Received Counseling or Therapy,By Age,United States,70 - 79 years,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,4.3,3.6,5.2,2020
Received Counseling or Therapy,By Age,United States,80 years and above,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.2,5.2,14.9,2020
Received Counseling or Therapy,By Sex,United States,Male,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,7.8,7.2,8.5,2020
Received Counseling or Therapy,By Sex,United States,Female,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,12.4,11.8,13.0,2020
Received Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,5.4,5.0,5.7,2020
Received Counseling or Therapy,By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,16.8,15.8,17.7,2020
Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,Hispanic or Latino,3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.9,8.4,11.6,2020
Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,10.4,9.8,11.1,2020
Received Counseling or Therapy,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3 (Oct 28 – Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,9.2,7.9,10.6,2020
